WARNING: TMPDIR not set; if /tmp is unavailable, set TMPDIR=$PWD/.tmp
TensorBoard logging enabled. Run: tensorboard --logdir=runs/triangle_fill_v21a_gnn_full_obs/tensorboard
update=   10 mean_rew=-1.2540 rollout_s=41.12 update_s=95.95 formation_loss=0.698 spacing_loss=0.300 lattice_loss=0.014 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.501 triangularity=0.309 boundary_triangularity=0.309 boundary_peak_count=1.758 boundary_corner_score=0.481 boundary_straightness=0.268 triangle_shape_score=0.350 collision_mean=0.001 action_mean=0.742 sinkhorn_entropy=1.046 speed_mean=0.008 ent_coef=0.0797 act_frac=[STOP 0.26, LEFT 0.24, RIGHT 0.25, STRAIGHT 0.25]
saved best score checkpoint at update=10 formation_score=0.501
saved best loss checkpoint at update=10 formation_loss=0.698
update=   20 mean_rew=-1.6527 rollout_s=28.18 update_s=81.15 formation_loss=0.749 spacing_loss=0.470 lattice_loss=0.016 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.477 triangularity=0.255 boundary_triangularity=0.255 boundary_peak_count=1.512 boundary_corner_score=0.389 boundary_straightness=0.244 triangle_shape_score=0.292 collision_mean=0.000 action_mean=0.743 sinkhorn_entropy=1.116 speed_mean=0.007 ent_coef=0.0793 act_frac=[STOP 0.26, LEFT 0.24, RIGHT 0.25, STRAIGHT 0.25]
update=   30 mean_rew=-1.5009 rollout_s=23.62 update_s=80.94 formation_loss=0.690 spacing_loss=0.429 lattice_loss=0.016 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.506 triangularity=0.343 boundary_triangularity=0.343 boundary_peak_count=1.817 boundary_corner_score=0.498 boundary_straightness=0.267 triangle_shape_score=0.370 collision_mean=0.000 action_mean=0.738 sinkhorn_entropy=1.036 speed_mean=0.008 ent_coef=0.0790 act_frac=[STOP 0.26, LEFT 0.24, RIGHT 0.24, STRAIGHT 0.25]
saved best score checkpoint at update=30 formation_score=0.506
saved best loss checkpoint at update=30 formation_loss=0.690
update=   40 mean_rew=-0.9237 rollout_s=28.23 update_s=81.08 formation_loss=0.743 spacing_loss=0.107 lattice_loss=0.012 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.479 triangularity=0.212 boundary_triangularity=0.212 boundary_peak_count=1.382 boundary_corner_score=0.352 boundary_straightness=0.233 triangle_shape_score=0.259 collision_mean=0.000 action_mean=0.723 sinkhorn_entropy=1.171 speed_mean=0.007 ent_coef=0.0786 act_frac=[STOP 0.28, LEFT 0.24, RIGHT 0.26, STRAIGHT 0.23]
update=   50 mean_rew=-1.5907 rollout_s=23.58 update_s=80.91 formation_loss=0.736 spacing_loss=0.448 lattice_loss=0.017 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.484 triangularity=0.347 boundary_triangularity=0.347 boundary_peak_count=1.374 boundary_corner_score=0.332 boundary_straightness=0.278 triangle_shape_score=0.325 collision_mean=0.000 action_mean=0.758 sinkhorn_entropy=1.068 speed_mean=0.007 ent_coef=0.0782 act_frac=[STOP 0.24, LEFT 0.26, RIGHT 0.25, STRAIGHT 0.24]
update=   60 mean_rew=-0.9574 rollout_s=24.00 update_s=81.39 formation_loss=0.700 spacing_loss=0.149 lattice_loss=0.012 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.500 triangularity=0.255 boundary_triangularity=0.255 boundary_peak_count=1.671 boundary_corner_score=0.452 boundary_straightness=0.237 triangle_shape_score=0.309 collision_mean=0.001 action_mean=0.752 sinkhorn_entropy=1.092 speed_mean=0.008 ent_coef=0.0779 act_frac=[STOP 0.25, LEFT 0.25, RIGHT 0.24, STRAIGHT 0.26]
update=   70 mean_rew=-2.2266 rollout_s=23.62 update_s=81.01 formation_loss=0.705 spacing_loss=0.783 lattice_loss=0.018 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.499 triangularity=0.325 boundary_triangularity=0.325 boundary_peak_count=1.765 boundary_corner_score=0.489 boundary_straightness=0.262 triangle_shape_score=0.358 collision_mean=0.000 action_mean=0.769 sinkhorn_entropy=1.048 speed_mean=0.008 ent_coef=0.0775 act_frac=[STOP 0.23, LEFT 0.26, RIGHT 0.26, STRAIGHT 0.25]
